evidence date,select data points,all developments,community/building,sub community / building,sub community / building.1,beds,price (aed),unit size (sq ft),plot size (sq ft),price (aed/sq ft),unit type,floor level,unit no.,sales recurrence,view,developer name,source,comments,unit size (sq. ft),plot size (sq. ft),price (aed/sq. ft)
12 Mar 2026,Oqood,Athlon By Aldar,Rise by Athlon,Tempo,,1,1254762,956,,1313,Apartment | 64810201,1,B2- 101,-,-,Aldar Properties,-,-,,,
12 Mar 2026,Title Deed,Dubai South,Dubai South Residential District,The Pulse,The Pulse Residences | The Pulse Residence B1,3,1488610,1474,,1010,Apartment | 5212780,7,703,-,-,Dubai South,-,-,,,
12 Mar 2026,Title Deed,Jumeirah Village Circle,JVC District 16,Binghatti Dawn,,Studio,1058822,448,,2363,Apartment | 6817666,2,213,-,Community,Binghatti,-,-,,,
12 Mar 2026,Oqood,Dubai Islands,Island A (Central Island),Elle Residences,,2,2806777,993,,2827,Apartment | 1010587,4,407,Resale,-,Anax Developments,-,-,,,
12 Mar 2026,Title Deed,Jumeirah Village Circle,JVC District 14,Loci,,2,1720000,1991,,864,Apartment | 6817197,4,401,-,-,Lootah Real Estate Development,-,-,,,
